dataset,as_of,model,task,score,scored_runs,wall_ms,cost_usd,task_hash,receipt
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ag-001-fix-bugs,1.0,1,37320.1,,13fce7c7bd29b3b7,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ag-001-fix-bugs
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ag-002-build-cli,1.0,1,56085.2,,b64924cbab655cb4,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ag-002-build-cli
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ag-003-fix-package,1.0,1,46846.4,,d56780591c04fc1a,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ag-003-fix-package
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ag-004-data-pipeline,1.0,1,40010.0,,a27921050ae4a7b9,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ag-004-data-pipeline
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ag-005-codebase-recon,1.0,1,58792.8,,ccc93bf833ceea12,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ag-005-codebase-recon
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ctx-001-recall-2k,1.0,1,8065.1,,f9e719265d2ef498,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ctx-001-recall-2k
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ctx-002-recall-8k,1.0,1,7720.7,,f1cbe9d845299e85,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ctx-002-recall-8k
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ctx-003-recall-32k,1.0,1,10536.1,,8e06d3c14e5948c5,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ctx-003-recall-32k
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ctx-004-recall-64k,1.0,1,9842.8,,ce3780046b279046,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ctx-004-recall-64k
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ctx-005-aggregate-16k,1.0,1,11255.8,,aad66c83304d7803,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ctx-005-aggregate-16k
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ctx-006-superseded-16k,1.0,1,11053.4,,633a0e3a9d4c128a,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ctx-006-superseded-16k
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,ctx-007-tally-16k,1.0,1,39376.1,,03aaf28c9227c675,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/ctx-007-tally-16k
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,py-001-rle,1.0,1,13598.0,,33756edc572fa2f0,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/py-001-rle
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,py-002-lru-cache,1.0,1,16180.7,,180de3b4b6b38c44,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/py-002-lru-cache
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,py-003-date-parser,1.0,1,60534.4,,84e2e95b72fe026b,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/py-003-date-parser
,2026-07-10T14:35:00.286+00:00,claude-cli-haiku-4-5,py-004-expr-eval,0.8889,1,194450.7,,be916a8e43d37f8a,https://github.com/tokenwaster/llm-testing-public/tree/main/archive/v0.2/runs/2026-07-10_135241/claude-cli-haiku-4-5/py-004-expr-eval
